party,state,finance.better,vote.method,child.indep,child.curio,child.obed,child.consid,us.world,us.better,rural.govt,rural.infl,rural.resp,women.child,women.work,women.favors,women.comp,year,Religion,President,women.media,women.disc,women.hire,women.opp
4,20,3,NA,2,2,1,2,4,3,4,4,4,4,4,3,5,2020,Evangelical,Biden,NA,NA,NA,NA
1,6,3,NA,2,2,1,2,3,4,4,3,5,6,4,4,5,2020,Roman Catholic,Biden,NA,NA,NA,NA
NA,NA,2,NA,2,1,2,1,4,2,6,7,7,4,4,5,5,2020,Not Religious,NA,NA,NA,NA,NA
NA,48,1,NA,2,2,2,1,5,3,6,4,4,4,4,3,4,2020,Not Religious,Trump,NA,NA,NA,NA
1,24,3,NA,2,2,1,1,1,1,7,4,6,4,2,5,5,2020,Jewish,Biden,NA,NA,NA,NA
1,11,2,NA,1,1,2,1,3,1,4,3,6,4,4,4,5,2020,Not Religious,Biden,NA,NA,NA,NA
NA,47,2,1,2,2,2,1,2,1,4,6,7,6,4,2,4,2020,Evangelical,NA,NA,NA,NA,NA
4,6,3,NA,1,1,2,1,3,1,7,7,4,4,4,5,4,2020,Mainline,Trump,NA,NA,NA,NA
1,6,3,NA,1,2,1,1,3,2,4,1,4,6,4,4,4,2020,Roman Catholic,NA,NA,NA,NA,NA
2,12,2,NA,2,2,2,1,3,1,6,6,6,4,4,3,4,2020,Mainline,Trump,NA,NA,NA,NA
1,20,3,NA,2,2,1,2,3,1,4,7,6,4,4,3,4,2020,Other Christian,NA,NA,NA,NA,NA
NA,NA,3,NA,2,2,2,1,3,3,4,4,4,4,4,4,4,2020,Mainline,NA,NA,NA,NA,NA
NA,NA,3,NA,2,1,1,1,5,5,7,6,6,6,5,3,4,2020,Not Religious,NA,NA,NA,NA,NA
NA,48,2,NA,2,2,2,1,3,3,7,5,5,4,5,4,2,2020,Roman Catholic,NA,NA,NA,NA,NA
1,34,3,NA,2,2,1,2,3,3,6,6,4,4,4,5,5,2020,Other Religion,NA,NA,NA,NA,NA
4,16,2,NA,1,1,1,1,3,3,4,3,4,4,4,4,4,2020,Not Religious,Biden,NA,NA,NA,NA
1,6,3,NA,2,1,2,2,5,2,4,4,4,4,4,5,5,2020,Undifferentiated Protestant,NA,NA,NA,NA,NA
2,12,2,NA,2,2,1,2,3,2,4,4,4,4,4,4,4,2020,Undifferentiated Protestant,NA,NA,NA,NA,NA
2,12,1,NA,2,2,1,1,2,1,4,4,4,7,2,4,3,2020,Mainline,Trump,NA,NA,NA,NA
1,41,3,NA,1,1,2,1,3,2,6,4,4,7,4,4,4,2020,Not Religious,Biden,NA,NA,NA,NA
NA,27,3,NA,2,1,2,1,5,4,5,4,4,4,4,5,4,2020,Mainline,Biden,NA,NA,NA,NA
NA,26,1,NA,1,2,2,1,4,2,4,4,6,6,4,4,5,2020,Mainline,Trump,NA,NA,NA,NA
4,6,3,NA,2,1,2,1,5,3,4,6,5,4,4,4,4,2020,Not Religious,Trump,NA,NA,NA,NA
2,21,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Evangelical,Trump,NA,NA,NA,NA
NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Not Religious,NA,NA,NA,NA,NA
NA,48,1,NA,2,2,2,1,3,1,4,4,4,4,4,4,4,2020,Mainline,Trump,NA,NA,NA,NA
NA,55,1,NA,2,2,2,1,3,3,4,4,4,7,4,3,4,2020,Roman Catholic,Trump,NA,NA,NA,NA
