party,state,finance.better,child.indep,child.curio,child.obed,child.consid,us.world,women.child,women.work,women.media,women.favors,women.comp,year,Religion,President
NA,NA,3,2,2,1,2,3,4,4,5,4,3,2016,Catholic,NA
NA,NA,5,2,2,1,2,3,6,2,4,3,3,2016,Not Religious,Hilary Clinton
NA,17,5,3,3,1,3,2,6,3,4,4,5,2016,Catholic,Donald Trump
1,37,2,2,2,1,1,3,7,1,6,3,3,2016,Not Religious,Hilary Clinton
NA,NA,5,2,2,2,1,4,7,NA,7,4,3,2016,Not Religious,NA
NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Not Religious,NA
NA,48,3,2,2,2,1,2,4,4,7,3,3,2016,Mainline,NA
1,37,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Mainline,NA
2,12,3,2,2,1,1,2,6,4,5,4,4,2016,Mainline,Donald Trump
2,20,3,1,2,1,2,4,6,4,4,4,4,2016,Catholic,Hilary Clinton
2,6,5,2,2,1,1,4,6,1,1,4,3,2016,Catholic,Donald Trump
1,12,3,2,1,2,1,5,4,4,4,4,4,2016,Catholic,Hilary Clinton
