state,party,finance.better,child.indep,child.curio,child.obed,child.consid,year,Religion,President
48,2,NA,NA,NA,NA,NA,2000,NA,NA
6,3,NA,3,3,3,1,2000,NA,Al Gore
36,5,NA,1,1,1,5,2000,Catholic,NA
27,3,2,5,5,3,1,2000,Protestant,George W. Bush
19,1,3,3,3,5,1,2000,NA,Al Gore
55,1,3,3,3,3,3,2000,NA,Al Gore
27,1,1,5,3,1,3,2000,Other Religion,Al Gore
55,1,3,5,5,1,5,2000,NA,NA
26,5,NA,1,1,5,5,2000,NA,Al Gore
26,2,NA,NA,NA,NA,NA,2000,NA,NA
26,3,NA,5,1,5,1,2000,NA,Pat Buchanan
34,3,NA,5,3,3,3,2000,Other Religion,George W. Bush
25,2,3,5,5,1,5,2000,NA,George W. Bush
25,5,2,5,5,1,3,2000,NA,NA
25,1,NA,3,5,1,5,2000,Catholic,NA
49,2,2,5,5,5,1,2000,NA,NA
34,1,NA,3,1,3,3,2000,NA,George W. Bush
48,1,4,5,5,1,1,2000,NA,Al Gore
48,1,NA,5,5,1,5,2000,NA,Al Gore
48,1,NA,3,3,3,3,2000,NA,NA
42,1,NA,3,3,3,3,2000,NA,Al Gore
42,2,3,5,3,1,3,2000,NA,George W. Bush
39,1,2,5,5,1,1,2000,NA,Al Gore
39,1,NA,3,5,1,5,2000,Catholic,Al Gore
